Track,Artist,Album_Name,Release_Date,Spotify_Streams,Spotify_Popularity,YouTube_Views,TikTok_Likes,Shazam_Counts
MILLION DOLLAR BABY,Tommy Richman,Million Dollar Baby - Single,2024-04-26,"390,470,936",92.0,"84,274,754","651,565,900","2,669,262"
Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,"323,703,884",92.0,"116,347,040","35,223,547","1,118,279"
i like the way you kiss me,Artemas,I like the way you kiss me,2024-03-19,"601,309,283",92.0,"122,599,116","275,154,237","5,285,340"
Flowers,Miley Cyrus,Flowers - Single,2023-01-12,"2,031,280,633",85.0,"1,096,100,899","1,078,757,968","11,822,942"
Houdini,Eminem,Houdini,2024-05-31,"107,034,922",88.0,"77,373,957",Unknown,"457,017"
Lovin On Me,Jack Harlow,Lovin On Me,2023-11-10,"670,665,438",83.0,"131,148,091","214,943,489","4,517,131"
Beautiful Things,Benson Boone,Beautiful Things,2024-01-18,"900,158,751",86.0,"308,723,145","29,584,940","9,990,302"
Gata Only,FloyyMenor,Gata Only,2024-02-02,"675,079,153",92.0,"228,382,568","338,546,668","6,063,523"
Danza Kuduro - Cover,MUSIC LAB JPN,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,2024-06-09,"1,653,018,119",0.0,Unknown,Unknown,Unknown
BAND4BAND (feat. Lil Baby),Central Cee,BAND4BAND (feat. Lil Baby),2024-05-23,"90,676,573",86.0,"32,735,244","121,574,500","666,302"
I Had Some Help (feat. Morgan Wallen),Post Malone,I Had Some Help,2024-05-10,"250,080,413",91.0,"32,229,063","184,500","963,413"
The Door,Teddy Swims,The Door,2024-06-14,"111,155,129",0.0,Unknown,Unknown,Unknown
LUNCH,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,"221,636,195",92.0,"40,022,524","45,889,000","450,344"
Like That,Future,WE DON'T TRUST YOU,2024-03-22,"355,186,436",88.0,"98,081,493",Unknown,"1,963,314"
bathroom floor,Kids With Buns,bathroom floor,2022-10-07,"297,185",12.0,"6,736,502,312","1,088","3,288"
LALA,Myke Towers,LALA - Single,2023-03-22,"925,655,569",79.0,"934,302,031","521,725,116","2,765,808"
Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,"395,433,400",89.0,"104,673,836","25,348,800","1,210,029"
greedy,Tate McRae,greedy,2023-09-14,"1,258,569,694",87.0,"141,646,818","419,319,161","6,973,652"
BLUE,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,"91,272,461",86.0,"16,038,053","119,740,900","257,661"
As It Was,Harry Styles,As It Was,2022-03-31,"3,301,814,535",87.0,"800,899,315","1,633,970,617","14,967,379"
Paint The Town Red,Doja Cat,Paint The Town Red,2023-08-04,"1,065,399,331",78.0,"240,970,670","652,428,798","7,559,816"
Espresso,Sabrina Carpenter,Espresso,2024-04-12,"547,882,871",95.0,"107,550,212","169,144,295","1,373,085"
TEXAS HOLD 'EM,Beyoncï¿,TEXAS HOLD 'EM,2024-02-10,"426,700,979",86.0,"35,724,356","485,200,392","2,100,708"
Future,official sound studio,Future,2024-01-10,Unknown,0.0,Unknown,"273,236,305",Unknown
Beat Automotivo Tan Tan Tan Viral,WZ Beat,Beat Automotivo Tan Tan Tan Viral,2022-05-24,"7,382,759",35.0,"4,233,958","1,636,811,753","633,525"
STAY (with Justin Bieber),The Kid LAROI,STAY (with Justin Bieber),2021-07-09,"3,107,100,349",78.0,"1,256,973,582","2,246,991,336",Unknown
Baby Shark,Pinkfong,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,2015-12-01,"720,822,868",71.0,"16,322,756,555","281,762,094","2,064,420"
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,"591,068,364",87.0,"156,882,014",Unknown,"1,579,980"
Numb / Encore,JAY-Z,Papercuts,2024-04-12,"1,003,215,671",0.0,Unknown,Unknown,"4,474,248"
Danza Kuduro - Cover,LOVE BGM JPN,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,2024-05-14,"1,645,079,292",0.0,Unknown,Unknown,Unknown
SHEESH,BABYMONSTER,BABYMONS7ER,2024-04-01,"124,893,397",82.0,"359,896,095","48,327,004","191,867"
Water,Tyla,Water,2023-07-28,"670,376,179",83.0,"265,180,930","369,150,956","6,447,136"
Strangers,Kenya Grace,Strangers,2023-09-01,"750,154,960",79.0,"118,208,096","196,985,853","7,477,917"
Too Sweet,Hozier,Unreal Unearth: Unheard,2024-03-22,"532,012,790",0.0,"62,123,098",Unknown,Unknown
What's Love Got to Do with It - 2023 Remaster,Tina Turner,What's Love Got to Do with It (30th Anniversary Deluxe Edition),2024-04-26,"479,417,905",0.0,Unknown,Unknown,"3,692,067"
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),2024-04-12,"311,928,522",96.0,"62,694,868","27,811,667","1,707,213"
Lose Control,Teddy Swims,Lose Control,2023-06-23,"775,135,157",87.0,"139,180,960","49,060,857","10,517,831"
fukumean,Gunna,fukumean,2023-06-15,"759,998,727",80.0,"94,699,547","311,252,391","3,945,184"
Dance Monkey,Tones And I,Dance Monkey,2019-05-10,"3,071,214,106",71.0,"3,366,447,481","393,814,740","44,842,636"
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,"214,237,645",92.0,"11,033,725","71,078,500","285,858"
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,2023-04-08,"170,970,614",41.0,"22,280,037","948,225,544",Unknown
I'm Good (Blue),David Guetta,I'm Good (Blue),2022-08-26,"1,658,229,422",83.0,"466,080,689","54,258,768","10,973,120"
Daylight,David Kushner,Daylight,2023-04-14,"1,126,820,069",82.0,"274,070,101","285,329,503","8,681,350"
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,2023-09-15,"997,702,304",86.0,"48,093,111","857,220,853","2,682,219"
Please Please Please,Sabrina Carpenter,Please Please Please,2024-06-06,"59,314,441",83.0,"22,374,807","188,200","47,115"
Houdini,Dua Lipa,Houdini - Single,2023-11-09,"493,627,071",80.0,"150,571,504","35,970,610","2,389,957"
If We Ever Broke Up,Mae Stephens,If We Ever Broke Up,2023-02-10,"304,929,492",69.0,"61,986,821","390,207,653","2,227,494"
Despacito,Luis Fonsi,Despacito (Featuring Daddy Yankee),2017-01-13,"1,747,093,405",74.0,"9,537,135,721","78,304,409","19,622,551"
euphoria,Kendrick Lamar,euphoria,2024-04-30,"168,434,320",86.0,"53,604,746",Unknown,"654,482"
Panda Basi,Mvua,Panda Basi - EP,2023-02-10,"104,271",25.0,"2,457,026,781","36,666","1,881"
Calm Down (with Selena Gomez),Rema,Calm Down (with Selena Gomez),2022-08-25,"1,391,688,322",77.0,"902,742,581","48,035","3,521,951"
Shape of You,Ed Sheeran,Shape of You,2017-01-06,"3,909,458,734",80.0,"8,013,997,219","194,420,058","1,146,246"
Mitu,Maian,Mitu - Single,2023-01-19,"55,346",13.0,"2,432,265,978",Unknown,200
Blinding Lights,The Weeknd,Blinding Lights,2019-11-29,"4,281,468,720",83.0,"833,807,130","337,322,563","28,994,660"
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,HEROES & VILLAINS,2022-12-02,"1,337,619,917",80.0,"193,982,443","148,085,419","6,205,060"
Dona Felicidade,Patati Patatï¿,Dona Felicidade,2024-06-04,Unknown,0.0,"52,480,069",Unknown,Unknown
Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),2022-09-22,"1,556,275,789",74.0,"254,051,906","683,088,623","10,192,485"
Stereo Love - Melodic,Edward Maya,Stereo Love Deluxe (feat. Vika Jigulina),2024-06-05,Unknown,9.0,Unknown,Unknown,Unknown
Very Cute Melody by Marimba Tone (39813),mitsu sound,Very Cute Melody by Marimba Tone (39813),2023-12-31,"1,384",0.0,"222,076","605,320,683",Unknown
Supernova,aespa,Supernova,2024-05-13,"69,729,033",81.0,"111,310,770","61,038,623","63,283"
Me Porto Bonito,Bad Bunny,Un Verano Sin Ti,2022-05-06,"1,811,990,630",79.0,"1,516,863,120","549,886,060","3,393,920"
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),JUVENILE,400 Degreez (Deluxe Edition),2024-03-29,"199,929,812",0.0,Unknown,Unknown,Unknown
Calm Down,Rema,Calm Down,2022-02-10,"584,427,088",68.0,"1,141,904,909","856,216,952","22,563,407"
CARNIVAL,ýý$,CARNIVAL,2024-02-08,"466,887,055",84.0,"27,688,666",Unknown,"1,982,000"
Kill Bill,SZA,SOS,2022-12-08,"1,873,746,537",82.0,"220,538,045","152,410,048","4,873,832"
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? (From The Motion Picture ""Barbie"")",2023-07-13,"891,720,245",82.0,"144,741,616","498,822,693","4,476,509"
Babba,Guy Mac,Black Book ID's: Chapter 5 - EP,2023-03-03,"46,567",6.0,"2,038,459,981",Unknown,903
Heat Waves,Glass Animals,Heat Waves,2020-06-29,"2,996,181,078",82.0,"1,272,898,075","513,334,446","17,848,778"
In the End,Linkin Park,Papercuts,2024-04-12,"2,045,512,421",0.0,Unknown,Unknown,Unknown
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,"946,941,510",74.0,"776,436,101","797,017,650","2,237,762"
The Way We Move - Extended Mix,PowerDress,The Way We Move,2023-03-10,"7,909",4.0,"1,999,374,091",Unknown,"1,412"
Old Town Road,Lil Nas X,Old Town Road,2019-03-14,"1,010,494,713",67.0,"3,203,314,695","187,301,054","8,856,633"
